ch-advanced-search	200	101968	text/html
ch-streaming-doc	200	24747	text/html
cqc-locations-page	200	75999	text/html
data-gov-uk-search	200	14152	application/json
defra-edm-2024	200	77244	text/html
defra-magic	200	10760	text/html
desnz-subnational	200	113947	text/html
dfe-ees-api-2	200	1261	application/json
dfe-ees-tables	404	16157	text/html
dft-road-safety	200	19790001	text/csv
ea-aims-assets	200	27347	application/json
ea-bathing	403	179	text/html
ea-catchment-2	200	60318	text/html
ea-public-register	200	68631	text/html
ea-water-quality-2	404	143876	text/html
enwl-opendata	200	30958	application/json
epc-domestic-check	200	17463	text/html
food-hygiene-la	403	132	application/json
fsa-api-v2	200	72094	application/json
gazette-company	200	5705	application/json
gias-download-page	403	1484	text/html
gias-establishment-csv	200	11907074	text/csv
hmlr-ppd-linked	200	5269	application/json
hmlr-ppd-sparql-2	200	379	application/json
hmlr-ukhpi	200	3052	application/json
legislation-search	200	62682	text/xml
llc-hmlr	403	19317	text/html
naptan-json	400	57	application/json
neso-embedded-cap	404	158	application/json
neso-gsp	200	63522	application/json
nesta-open	403	5546	text/html
nged-opendata	403	5689	text/html
nhs-ods-search	200	928	application/json
nisra	200	27576	text/html
northernpowergrid	200	30712	application/json
nrscotland	404	16212	text/html
ofcom-cn-data	403	5926	text/html
ons-geoportal-search	200	72	application/json
ons-nomis-lsoa	200	2526	application/json
ons-postcode-dir	200	84	application/json
osm-nominatim-2	200	443	application/json
parliament-bills	200	1520	application/json
parliament-written	000	0	inode/x-empty
pins-appeals	404	52434	text/html
spen-opendata	200	35224	application/json
ssen-opendata	404	4281	text/html
statswales	200	8683	text/html
statxplore	503	4491	text/html
ukhsa-metrics	200	1323	application/json
ukpn-opendata	200	44987	application/json
